KASHIF|2026-08-30|ITEM|pid=48|Midnight — Chicken Club Sandwich + Fries + Drink|qty=4.00|net=3300.00
KASHIF|2026-08-30|ITEM|pid=13|2 Pcs Crispy Fried Chicken (With Fries)|qty=4.00|net=3200.00
KASHIF|2026-08-30|ITEM|pid=201|Cream Cocktail Cup|qty=15.00|net=3000.00
KASHIF|2026-08-30|ITEM|pid=35|Chicken Burger (With Fries)|qty=4.00|net=3000.00
KASHIF|2026-08-30|ITEM|pid=1|Chicken Hot Wings (Spicy) 8 Pcs|qty=3.00|net=2970.00
KASHIF|2026-08-30|ITEM|pid=51|Chicken Bar-B-Que Sandwich (With Fries)|qty=3.00|net=2850.00
KASHIF|2026-08-30|ITEM|pid=155|Ustad Special Roll|qty=5.00|net=2750.00
KASHIF|2026-08-30|ITEM|pid=149|Chicken Malai Chatni Roll|qty=7.00|net=2730.00
KASHIF|2026-08-30|ITEM|pid=69|Manchurian With Fried Rice (1 Person)|qty=2.00|net=2700.00
KASHIF|2026-08-30|ITEM|pid=172|Cold Drink (Can)|qty=16.00|net=2560.00
KASHIF|2026-08-30|ITEM|pid=174|Soft Drink (300 ml)|qty=25.00|net=2500.00
KASHIF|2026-08-30|ITEM|pid=26|Family Deal 1 - 9 Pcs Crispy Fried Chicken|qty=1.00|net=2500.00
KASHIF|2026-08-30|ITEM|pid=72|Shashlik With Fried Rice (2 Person)|qty=1.00|net=2450.00
KASHIF|2026-08-30|ITEM|pid=64|Supreme Pizza Fries (Small)|qty=3.00|net=2400.00
KASHIF|2026-08-30|ITEM|pid=62|Tikka Pizza Fries (Small)|qty=3.00|net=2400.00
KASHIF|2026-08-30|ITEM|pid=168|Chicken Biryani Family Pack 6 Pcs|qty=1.00|net=2270.00
KASHIF|2026-08-30|ITEM|pid=131|Parhata Small|qty=28.00|net=2240.00
KASHIF|2026-08-30|ITEM|pid=89|Vegetable Chow Mein (1 Person)|qty=2.00|net=2100.00
KASHIF|2026-08-30|ITEM|pid=15|3 Pcs Crispy Fried Chicken (With Fries)|qty=2.00|net=2100.00
KASHIF|2026-08-30|ITEM|pid=28|Chicken Crunch Burger|qty=4.00|net=2000.00
KASHIF|2026-08-30|ITEM|pid=4|Supreme Nachos|qty=2.00|net=1980.00
KASHIF|2026-08-30|ITEM|pid=5|Korean Chicken|qty=2.00|net=1980.00
KASHIF|2026-08-30|ITEM|pid=3|Dhaka Chicken|qty=2.00|net=1980.00
KASHIF|2026-08-30|ITEM|pid=134|Beef Boti Chatni Roll|qty=5.00|net=1850.00
KASHIF|2026-08-30|ITEM|pid=145|Chicken Mayo Cheese Roll|qty=4.00|net=1640.00
KASHIF|2026-08-30|ITEM|pid=140|Chicken Balochi Roll|qty=4.00|net=1600.00
KASHIF|2026-08-30|ITEM|pid=66|Pepperoni Pizza Fries (Small)|qty=2.00|net=1600.00
KASHIF|2026-08-30|ITEM|pid=37|Beef Burger (With Fries)|qty=2.00|net=1600.00
KASHIF|2026-08-30|ITEM|pid=137|Beef Seekh Kebab Chatni Roll|qty=4.00|net=1480.00
KASHIF|2026-08-30|ITEM|pid=129|Adana Kebab Beef|qty=1.00|net=1450.00
KASHIF|2026-08-30|ITEM|pid=12|Midnight — 2 Pcs Crispy Fried Chicken + Fries + Drink|qty=2.00|net=1450.00
KASHIF|2026-08-30|ITEM|pid=46|Chicken Sandwich|qty=2.00|net=1400.00
KASHIF|2026-08-30|ITEM|pid=22|Nuggets 6 Pcs|qty=2.00|net=1400.00
KASHIF|2026-08-30|ITEM|pid=181|Raita|qty=13.00|net=1300.00
KASHIF|2026-08-30|ITEM|pid=103|Chicken Mac n Cheese Pasta (1 Person)|qty=1.00|net=1250.00
KASHIF|2026-08-30|ITEM|pid=117|Chicken Baluchi Boti|qty=1.00|net=1250.00
KASHIF|2026-08-30|ITEM|pid=135|Beef Boti Garlic Mayo Roll|qty=3.00|net=1200.00
KASHIF|2026-08-30|ITEM|pid=157|Ustad Special Chipotle Roll|qty=2.00|net=1200.00
KASHIF|2026-08-30|ITEM|pid=34|Chicken Burger|qty=2.00|net=1200.00
KASHIF|2026-08-30|ITEM|pid=156|Ustad Special Mayo|qty=2.00|net=1200.00
KASHIF|2026-08-30|ITEM|pid=133|Pori Paratha|qty=14.00|net=1120.00
KASHIF|2026-08-30|ITEM|pid=38|American Vintage (Beef)|qty=1.00|net=1050.00
KASHIF|2026-08-30|ITEM|pid=39|Mushroom Melt (Beef)|qty=1.00|net=1050.00
KASHIF|2026-08-30|ITEM|pid=164|Chicken Biryani (Sadi)|qty=4.00|net=1000.00
KASHIF|2026-08-30|ITEM|pid=44|Cheesy Blaze (Chicken)|qty=1.00|net=1000.00
KASHIF|2026-08-30|ITEM|pid=53|Chicken Malai Boti Sandwich (With Fries)|qty=1.00|net=950.00
KASHIF|2026-08-30|ITEM|pid=43|Grilled Mushroom (Chicken)|qty=1.00|net=900.00
KASHIF|2026-08-30|ITEM|pid=14|3 Pcs Crispy Fried Chicken|qty=1.00|net=900.00
KASHIF|2026-08-30|ITEM|pid=42|Smoke House (Chicken)|qty=1.00|net=900.00
KASHIF|2026-08-30|ITEM|pid=178|Soft Drink (1.5 Ltr)|qty=4.00|net=880.00
KASHIF|2026-08-30|ITEM|pid=47|Chicken Sandwich (With Fries)|qty=1.00|net=850.00
KASHIF|2026-08-30|ITEM|pid=17|2 Pcs Crispy Fried Chicken (Spicy, With Fries)|qty=1.00|net=850.00
KASHIF|2026-08-30|ITEM|pid=23|Nuggets 6 Pcs (With Fries)|qty=1.00|net=850.00
KASHIF|2026-08-30|ITEM|pid=154|Chicken Reshmi Kebab Mayo Cheese Roll|qty=2.00|net=840.00
KASHIF|2026-08-30|ITEM|pid=136|Beef Boti Mayo Cheese Roll|qty=2.00|net=820.00
KASHIF|2026-08-30|ITEM|pid=183|Singaporean Sauce|qty=8.00|net=800.00
KASHIF|2026-08-30|ITEM|pid=138|Beef Kebab Garlic Mayo Roll|qty=2.00|net=800.00
KASHIF|2026-08-30|ITEM|pid=50|Chicken Bar-B-Que Sandwich|qty=1.00|net=800.00
KASHIF|2026-08-30|ITEM|pid=36|Beef Burger|qty=1.00|net=650.00
KASHIF|2026-08-30|ITEM|pid=193|Extra Skewer|qty=1.00|net=625.00
KASHIF|2026-08-30|ITEM|pid=182|Fresh Salad|qty=3.00|net=600.00
KASHIF|2026-08-30|ITEM|pid=176|Soft Drink (500 ml)|qty=4.00|net=560.00
KASHIF|2026-08-30|ITEM|pid=148|Chicken Crispy Mayo Cheese Roll|qty=1.00|net=510.00
KASHIF|2026-08-30|ITEM|pid=185|Garlic Fried|qty=5.00|net=500.00
KASHIF|2026-08-30|ITEM|pid=191|Extra Sauce|qty=5.00|net=500.00
KASHIF|2026-08-30|ITEM|pid=55|Fries (Large)|qty=1.00|net=450.00
KASHIF|2026-08-30|ITEM|pid=141|Chicken Balochi Mayo Roll|qty=1.00|net=440.00
KASHIF|2026-08-30|ITEM|pid=150|Chicken Malai Garlic Mayo Roll|qty=1.00|net=420.00
KASHIF|2026-08-30|ITEM|pid=139|Beef Kebab Mayo Cheese Roll|qty=1.00|net=410.00
KASHIF|2026-08-30|ITEM|pid=153|Chicken Reshmi Kebab Garlic Mayo Roll|qty=1.00|net=400.00
KASHIF|2026-08-30|ITEM|pid=186|Cheese|qty=4.00|net=400.00
KASHIF|2026-08-30|ITEM|pid=200|Soft Drink Sting (345 ml)|qty=3.00|net=390.00
KASHIF|2026-08-30|ITEM|pid=152|Chicken Reshmi Kebab Chatni Roll|qty=1.00|net=380.00
KASHIF|2026-08-30|ITEM|pid=188|Dinner Roll|qty=4.00|net=320.00
KASHIF|2026-08-30|ITEM|pid=190|Mayo Sauce|qty=3.00|net=240.00
KASHIF|2026-08-30|ITEM|pid=204|Plain Rice|qty=1.00|net=170.00
KASHIF|2026-08-30|ITEM|pid=173|Soft Drink Sting (Can)|qty=1.00|net=160.00
KASHIF|2026-08-30|ITEM|pid=189|Coleslaw|qty=2.00|net=160.00
KASHIF|2026-08-30|WAITER|Unassigned|net=0.00
KASHIF|2026-08-30|WAITER|Default Waiter|net=0.00
KASHIF|2026-08-30|ORDERTYPE|Takeaway|net=0.00
KASHIF|2026-08-30|ORDERTYPE|Dine In|net=0.00
KASHIF|2026-08-30|ORDERTYPE|Delivery|net=0.00
KASHIF|2026-08-30|ORDERTYPE|Quick Sale|net=0.00
KASHIF|2026-08-30|CANCEL|total_events|58.00
