order_item_id,name,category_id,unit,order_rate,meat_rate,service_rate,qty_in_no,cat_allow,kitchen_id,kitchen_allow
111,"ACHAR GOSHT CHICKEN",3,KGS,1725,825,900,0,Y,1,Y
112,"DAAL GOSHT BEEF",3,KGS,2150,1450,700,0,Y,1,Y
113,"DAAL GOSHT MUTTON",3,KGS,3400,2600,800,0,Y,1,Y
115,"ICE CREAM MANGO",7,LTR,1300,0,1300,0,N,7,Y
116,"DAHI PHULKI",6,KGS,850,0,850,0,N,1,N
117,"PAN STALL",13,PCS,35,0,35,0,N,19,N
118,"BOTI BEEF",4,KGS,2100,0,2100,0,Y,3,Y
119,"GREEN MASALA MUTTON",3,KGS,3500,2600,900,0,Y,1,Y
120,"PAAYA MUTTON",3,KGS,800,0,800,0,Y,1,Y
121,"JALFREZI CHICKEN",3,KGS,1035,535,500,0,Y,1,Y
122,"SHASHLIK CHICKEN",4,KGS,1825,775,1050,0,Y,3,Y
123,"CHICKEN TIKKA BOTI",4,KGS,985,535,450,0,Y,3,Y
124,"GINGER CHICKEN",3,KGS,1435,535,900,0,Y,1,Y
125,"RAS MALAI",7,PCS,0,0,0,0,N,16,Y
126,"HARI MIRCH QEEMA FISH",3,KGS,900,0,900,0,Y,1,Y
127,LAB-E-KHAS,7,KGS,1100,0,1100,0,N,1,Y
128,"QORMA WHITE CHICKEN",3,KGS,1585,535,1050,0,Y,1,Y
130,"SINGAPORIAN RICE",2,KGS,6000,0,6000,0,N,1,Y
131,"WHITE KARAHI MUTTON",3,KGS,4050,2900,1150,0,Y,1,Y
132,"NOODLS + RUSIAN SALAD",10,PER,1200,0,1200,0,N,17,Y
133,"RESHMI KABAB CHICKEN",4,KGS,1275,775,500,0,Y,3,Y
134,"QULFI CRUNCH FALOODA",7,PCS,90,0,90,0,N,7,Y
136,"BIRYANI MASALA AALOO",2,KGS,1300,0,1300,0,N,1,Y
137,"QULCHA -",8,KG,510,0,510,0,N,15,Y
138,"ONE BYTE SAMOSA BEEF",6,PCS,60,0,60,0,N,5,N
139,"WELCOME DRINK",1,NOS,100,0,100,0,N,1,N
140,"TANDOOR (LIVE)",8,NO.,8500,0,8500,0,N,17,N
141,"CHAPLI KABAB BEEF",5,KGS,1800,0,1800,0,Y,4,Y
142,"JALEBI STALL",7,NOS,13000,0,13000,0,N,12,N
143,"SAMOSA QEEMA BEEF",1,PCS,60,0,60,0,N,5,N
144,"SAMOSA AALOO",6,PCS,50,0,50,0,N,5,N
145,"PAKORA MIX",15,KGS,800,0,800,0,N,5,N
148,"NIHARI BEEF",3,KGS,2750,1750,1000,0,Y,1,Y
150,"SHASHLIK VEGETABLE",4,KGS,400,0,400,0,N,1,N
151,"ROOH AFZA",15,PER,80,0,80,0,N,1,Y
152,"DAHI BARAY",15,KGS,300,0,300,0,N,5,N
153,"FRIED FISH LAHORI",5,KGS,600,0,600,0,Y,1,Y
154,"QORMA FISH",3,KGS,900,0,900,0,Y,1,Y
155,"BIRYANI VEGETABLE",2,KGS,1250,0,1250,0,N,1,Y
156,"PALAK PANIR BEEF",3,KGS,2050,1450,600,0,N,1,Y
157,"CRISPY CHICKEN POTATO CUTLETS",6,PCS,50,0,50,0,N,5,N
158,"GREEN TEA",12,CUP,100,0,100,0,N,1,N
159,"BOHRA FRIED BATAIR",5,NOS,600,0,600,0,Y,1,N
160,"CHICKEN SAJJI",4,KGS,835,535,300,0,Y,23,Y
161,"SEEKH KABAB MUTTON",4,KGS,500,0,500,0,Y,3,Y
162,"ACHAAR GOSHT BEEF",3,KGS,2250,1450,800,0,N,1,Y
163,"AALOO GOSHT BEEF",3,KGS,2450,1450,1000,0,Y,1,Y
164,"PULAOW MASOOR",2,KGS,1300,0,1300,0,N,1,Y
165,PIYAAZ,10,,0,0,0,0,N,1,N
166,"CHATNI GREEN",11,PER,0,0,0,0,N,1,N
168,CHATNI,11,KGS,0,0,0,0,N,1,N
169,"TEA (PLAIN)",12,CUP,25,0,25,0,N,1,N
170,"MINERAL WATER LARGE",14,PCS,140,0,140,0,N,20,N
171,"DAAL LOCKY BEEF",3,KGS,2050,1450,600,0,Y,1,Y
172,"PRAWN TEMPURA",5,KGS,650,0,650,0,Y,1,Y
175,"PAMPLATE FRIED GOLD LAHORI",5,KGS,600,0,600,0,Y,1,Y
176,"FRENCH FRIES",6,P/H,90,0,90,0,N,1,N
177,"BIRYANI SADI MUTTON",2,KG,3800,2600,1200,0,Y,1,Y
179,"FRIED RICE",2,KGS,1300,0,1300,0,N,1,N
180,"SHAMI KABAB CHICKEN",5,PCS,100,0,100,0,Y,5,Y
181,"PASANDEY BEEF",3,KGS,2450,1750,700,0,Y,1,Y
182,"BIRYANI SADI MUTTON ZAFRAN",2,KGS,4150,2900,1250,0,Y,1,Y
184,"CHEESE CAKE",7,KGS,700,0,700,0,Y,6,Y
185,MANGOES,15,KGS,50,0,50,0,N,1,N
186,"MANCHORIAN CHICKEN",2,KGS,1825,775,1050,0,Y,1,Y
187,"CREAM COCKTAIL",7,KGS,1200,0,1200,0,N,1,Y
189,"CHAWMIN CHICKEN",3,P/H,80,0,80,0,Y,2,Y
190,"LAHORI FISH",5,KGS,600,0,600,0,Y,1,Y
191,"HANDI MUTTON",3,KGS,3900,2900,1000,0,Y,1,Y
192,"AALOO QEEMA BEEF",3,KGS,2750,1750,1000,0,Y,1,Y
193,"NIHARI MUTTON",3,KGS,3600,2600,1000,0,Y,1,Y
194,"AALOO GOSHT MUTTON",3,KGS,3900,2900,1000,0,Y,1,Y
195,"SHAHI TIKKA CHICKEN",4,KGS,1225,775,450,0,Y,3,Y
196,"QORMA MUTTON BADAMI",3,KGS,3900,2900,1000,0,Y,1,Y
197,"QORMA BADAMI CHICKEN",3,KGS,1535,535,1000,0,Y,1,Y
198,"TIKKA KARAHI CHICKEN",3,KGS,1535,535,1000,0,Y,1,Y
199,"KACHRI QEEMA BEEF",3,KGS,2450,1550,900,0,Y,1,Y
201,DECORATION,15,NOS,0,0,0,0,N,1,N
202,"SAMOSA ONE BITE CHICKEN",6,NOS,30,0,30,0,N,5,Y
203,"GARLIC CHICKEN",4,KGS,835,535,300,0,Y,3,Y
205,"EXTRA MEWAJAT",7,KGS,150,0,150,0,N,1,N
206,KETCHUP,15,PCS,65,0,65,0,N,1,N
209,"FRUIT CHAT",15,PER,0,0,0,0,N,1,N
210,"STEAM MUTTON",5,KGS,3300,2600,700,0,Y,1,Y
211,"M BREAD",8,PCS,45,0,45,0,N,15,Y
212,"PINEAPPLE KHEER",7,KGS,1000,0,1000,0,N,1,N
213,"CHICKEN SANDWICH",16,PCS,100,0,100,0,N,21,Y
214,"SAJJI MUTTON",4,KGS,3100,2600,500,0,Y,23,Y
216,"GULAB JAMAN (LIVE)",7,KGS,1300,0,1300,0,N,12,Y
217,"ZARDA SADA PELA",7,KGS,1200,0,1200,0,N,1,Y
219,"HANDI PRAWN",3,KGS,1000,0,1000,0,Y,1,Y
221,"MALAI BOTI CHICKEN",4,KGS,1325,775,550,0,Y,3,Y
222,"NAN SINGLE",8,NOS,30,0,30,0,N,15,Y
224,"PARATHA RAWA MEDA (LIVE)",6,KGS,650,0,650,6,N,1,Y
225,"PAAYA KUNNA MUTTON",3,KGS,3900,2900,1000,0,Y,2,Y
227,"WHITE KARAHI BEEF",3,KGS,2600,1450,1150,0,N,1,Y
228,"GREEN KARAHI CHICKEN",3,KGS,1685,535,1150,0,Y,1,Y
231,"RAJHISTANI TIKKA",4,KGS,1290,740,550,0,Y,3,Y
233,"AALOO CHANA CHAT",15,PLATE,150,0,150,0,Y,24,N
234,"AALOO GOSHT CHICKEN",3,KGS,1535,535,1000,0,Y,1,Y
235,"AMRATI LIVE",7,KGS,0,0,0,0,Y,12,Y
236,"VEGETABLE RICE CHICKEN",2,KGS,1300,0,1300,0,N,1,N
237,"VEGETABLE CHILLI",3,KGS,400,0,400,0,N,1,N
238,"RAS GULLA",7,PCS,0,0,0,0,N,16,N
240,"KHEER SAKOREE",7,PCS,90,0,90,0,N,1,N
241,"QEEMA CHILLI",3,KGS,2000,1100,900,0,Y,1,N
242,"ZAFRANI TEA",12,CUPS,80,0,80,0,N,1,N
244,"SWEET & SOUR CHICKEN",3,KGS,1275,775,500,0,Y,1,Y
245,"PALAK GOSHT MUTTON",3,KGS,3400,2600,800,0,Y,1,Y
246,"KUNNA BEEF",3,KGS,2450,1450,1000,0,Y,2,Y
247,"BIRYANI MASALA QEEMA",2,KGS,1945,745,1200,0,Y,1,Y
248,"PISTA QULFI FALOODA",7,PCS,95,0,95,0,N,1,N
249,"BISCUIT FISH",5,KGS,600,0,600,0,N,1,N
250,"KARAHI CHICKEN BONELESS",3,KGS,1675,775,900,0,Y,1,Y
252,"PULAOW CHANA",2,KGS,1300,0,1300,0,N,1,Y
255,"GREEN KARAHI MUTTON",3,KGS,3750,2600,1150,0,Y,1,Y
256,"BAISANI PARATHA",8,PCS,130,0,130,0,N,15,N
257,"ACHAR GOSHT MUTTON",3,KGS,3900,2900,1000,0,Y,1,Y
258,"TIKKA KARAHI MUTTON",3,KGS,3900,2900,1000,0,Y,1,Y
259,"HALEEM CHICKEN",3,KGS,550,0,550,0,N,9,Y
260,"BIRYANI MASALA CHANA",2,KGS,1300,0,1300,0,N,1,Y
261,"BIHARI ROLL BEEF 111",4,PCS,0,0,0,0,N,3,Y
262,"SHASHLIK BEEF",3,KGS,2350,1750,600,0,Y,1,Y
263,"WONG TONG (SAMOSA)",6,PCS,32,0,32,0,N,5,Y
265,"PULAOW VEGETABLE",2,KGS,1300,0,1300,0,N,1,Y
266,"VEGETABLE CUTLUS",6,PCS,25,0,25,0,N,5,N
267,"NAN PLAIN",8,KGS,120,0,120,6,N,17,Y
269,"PARSA ICE CREAM",7,PCS,0,0,0,0,N,7,N
270,"CUTLUS BEEF",5,PCS,130,0,130,0,N,5,Y
271,"CHANA TARKARI",6,KGS,1400,0,1400,0,N,1,Y
274,"GINGER MUTTON",3,KGS,3400,2600,800,0,Y,1,Y
275,"PULAOW AFGHAN MUTTON",2,KGS,3950,2600,1350,0,Y,1,Y
276,"QEEMA PARATHA",8,PCS,60,0,60,0,N,15,N
278,"APPLE PIE",7,NOS,0,0,0,0,N,6,N
279,"JUICE BAR",1,LTR,0,0,0,0,N,1,N
280,GARMA,15,KGS,40,0,40,0,N,1,N
281,"MAAZA JUICE",1,P/H,35,0,35,0,N,1,N
282,"MUKHNI MUTTON",3,KGS,3400,2600,800,0,Y,1,Y
283,"WHITE QORMA MUTTON",3,KGS,4000,2900,1100,0,Y,1,Y
285,"STEW BEEF",3,KGS,2250,1350,900,0,Y,1,Y
286,"KATAKAT MUTTON",3,KGS,900,0,900,0,Y,1,Y
287,"CHICKEN BUTTER",3,KGS,2005,1005,1000,0,Y,1,Y
288,RICE,2,KGS,370,0,370,0,N,1,N
289,"PALAK GOSHT BEEF",3,KGS,1950,1350,600,0,Y,1,Y
290,"CHICKEN YAKHNI SOUP",1,P/H,35,0,35,0,Y,8,Y
292,"MASALA HANDI PRAWN",3,KGS,1000,0,1000,0,Y,1,Y
293,"TIKKA KARAHI BEEF",3,KGS,2450,1450,1000,0,Y,1,Y
294,"BIHARI BOTI BEEF",4,KGS,2100,0,2100,0,Y,3,Y
295,"PALAK KOFTA",3,KGS,850,0,850,0,Y,1,N
296,"CHICKEN MUSHROOM SOUP",1,P/H,70,0,70,0,N,1,Y
297,"CHAT PATI RAAN MUTTON",5,KGS,3400,2800,600,0,Y,1,Y
298,"TEA BAG",12,CUP,25,0,25,0,N,1,N
299,"KHICHRA MUTTON",3,KGS,0,0,0,0,Y,9,Y
300,"CHOLEY CHICKEN",3,KGS,935,535,400,0,Y,1,Y
301,"QEEMA FRY BEEF",3,KGS,2550,1750,800,0,Y,1,Y
302,"WHITE QORMA BEEF",3,KGS,2550,1450,1100,0,Y,1,Y
303,AMARTI,7,PCS,16000,0,16000,0,N,12,N
304,"PULAOW KOFTA CHICKEN",2,KGS,1925,775,1150,0,Y,1,Y
305,GRAPES,15,KGS,0,0,0,0,N,1,N
306,"VEGETABLE ROLL CHICKEN",6,PCS,60,0,60,0,N,5,Y
307,"LEMON SQUASH",1,P/H,25,0,25,0,N,1,N
308,SARDA,15,KGS,0,0,0,0,N,1,N
309,"KARAHI GREEN BEEF",3,KGS,2600,1450,1150,0,Y,1,Y
310,"SALAD BAR COLD - 9",10,,5000,0,5000,0,N,17,Y
311,"COLE SLAW",10,NOS,20,0,20,0,N,1,N
312,"PULAOW AALOO CHANA",2,KGS,1350,0,1350,0,N,1,Y
314,"KARAHI FISH",3,KGS,900,0,900,0,Y,1,Y
315,"BOHRA FRIED MUTTON",5,KGS,3250,2600,650,0,Y,1,Y
316,"AGRA SHAHI",8,KGS,510,0,510,6,N,15,N
317,"GAJAR KHEER",7,KGS,850,0,850,0,N,1,Y
318,"BIRYANI MASALA FISH",2,KGS,1200,0,1200,0,Y,1,Y
319,"ASSORTED SANDWICH",16,PCS,100,0,100,0,N,21,N
320,"ASSORTED SAMOSA",16,PCS,60,0,60,0,N,5,N
321,"WINGS CHICKEN FRIED",5,KGS,1135,535,600,0,Y,1,Y
322,"BIRYANI MALKA MASOOR",2,KGS,1300,0,1300,0,N,1,N
323,"BRAIN MASALAH",3,P/H,0,0,0,0,Y,1,Y
324,"DOODH DULARI",7,KGS,1300,0,1300,0,N,1,Y
325,"CHICKEN PATTIES",16,NOS.,30,0,30,0,N,21,Y
326,"DAAL CHANA",3,KGS,450,0,450,0,N,1,N
328,"GREEN MASALA PRAWN LIVE",3,KGS,950,0,950,0,Y,1,Y
330,"DHAGA KABAB BEEF",4,KGS,2000,0,2000,0,Y,3,Y
331,"QULFI ZAFRANI",7,NOS,105,0,105,0,N,7,Y
